"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i24000000URhUAAW","2017-05-26","Tatiana Abreu","AP-017238; VINV-01581","PIN001866","0012400000g4fPAAAY","Channel Partner / Vendor","005","a3h24000000LTVrAAO","0.0","4277.35","a2l24000000U9vrAAC","2017-05-30T10:18:22.000Z","AP-017238; VINV-01581","22114"
"a3i24000000URhUAAW","2017-05-26","Tatiana Abreu","AP-017238; VINV-01581","PIN001866","0012400000g4fPAAAY","Channel Partner / Vendor","005","a3h24000000LTVsAAO","3477.52","0.0","a2l24000000U9y3AAC","2017-05-30T10:18:22.000Z","","311"
"a3i24000000URhUAAW","2017-05-26","Tatiana Abreu","AP-017238; VINV-01581","PIN001866","0012400000g4fPAAAY","Channel Partner / Vendor","005","a3h24000000LTVtAAO","799.83","0.0","a2l24000000U9wOAAS","2017-05-30T10:18:22.000Z","CCONT23","2432113"
"a3i24000000URhtAAG","2017-05-25","Tatiana Abreu","AP-015197; VINV-01575","PIN001867","0012400000w0fPQAAY","Channel Partner / Vendor","005","a3h24000000LTWKAA4","0.0","7987.35","a2l24000000U9vrAAC","2017-05-30T11:01:13.000Z","AP-015197; VINV-01575","22114"
"a3i24000000URhtAAG","2017-05-25","Tatiana Abreu","AP-015197; VINV-01575","PIN001867","0012400000w0fPQAAY","Channel Partner / Vendor","005","a3h24000000LTWLAA4","6493.78","0.0","a2l24000000U9y3AAC","2017-05-30T11:01:13.000Z","","311"
"a3i24000000URhtAAG","2017-05-25","Tatiana Abreu","AP-015197; VINV-01575","PIN001867","0012400000w0fPQAAY","Channel Partner / Vendor","005","a3h24000000LTWMAA4","1493.57","0.0","a2l24000000U9wOAAS","2017-05-30T11:01:13.000Z","CCONT23","2432113"
"a3i24000000URiIAAW","2017-05-19","Tatiana Abreu","AP-016849; VINV-01535","PIN001868","0012400000YDOUiAAP","Channel Partner / Vendor","005","a3h24000000LTWnAAO","0.0","3195.54","a2l24000000U9vrAAC","2017-05-30T11:14:52.000Z","AP-016849; VINV-01535","22114"
"a3i24000000URiIAAW","2017-05-19","Tatiana Abreu","AP-016849; VINV-01535","PIN001868","0012400000YDOUiAAP","Channel Partner / Vendor","005","a3h24000000LTWoAAO","2598.0","0.0","a2l24000000U9y3AAC","2017-05-30T11:14:52.000Z","","311"
"a3i24000000URiIAAW","2017-05-19","Tatiana Abreu","AP-016849; VINV-01535","PIN001868","0012400000YDOUiAAP","Channel Partner / Vendor","005","a3h24000000LTWpAAO","597.54","0.0","a2l24000000U9wOAAS","2017-05-30T11:14:52.000Z","CCONT23","2432113"
"a3i24000000URiXAAW","2017-05-25","Tatiana Abreu","AP-016794; VINV-01576","PIN001869","0012400000w0fPQAAY","Channel Partner / Vendor","005","a3h24000000LTX5AAO","0.0","15969.37","a2l24000000U9vrAAC","2017-05-30T11:20:01.000Z","AP-016794; VINV-01576","22114"
